Zipcode,Page,NewUsed,Year,Make,MSRP,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,URL,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
7097,2,USED,2009,Nissan,,3999.0,Gasoline,18.0,23.0,AWD,3.5,3.5,118241.0,4.6,https://www.cars.com/vehicledetail/detail/803227139/overview/,Tier_1,silver,black,automatic,NA
7097,2,USED,2018,Toyota,,16137.0,Hybrid,51.0,53.0,FWD,2.5,2.5,78270.0,4.9,https://www.cars.com/vehicledetail/detail/803130950/overview/,Tier_1,white,NA,automatic,NA
7097,2,USED,2015,Jaguar,,24495.0,Gasoline,16.0,24.0,AWD,3.0,3.0,54355.0,5.0,https://www.cars.com/vehicledetail/detail/775870502/overview/,Tier_2,OTHER,OTHER,automatic,8
7097,2,USED,2018,Bentley,,136800.0,Gasoline,12.0,19.0,AWD,6.0,6.0,26604.0,5.0,https://www.cars.com/vehicledetail/detail/800875218/overview/,Tier_3,white,brown,automatic,8
7097,2,NEW,2020,Ford,,23790.0,Gasoline,27.0,29.0,4WD,2.3,2.3,0.0,4.2,https://www.cars.com/vehicledetail/detail/795225088/overview/,Tier_1,black,black,automatic,NA
7097,2,NEW,2020,Chevrolet,,21749.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/794606420/overview/,Tier_1,gray,black,automatic,6
7097,2,NEW,2020,Ford,,23790.0,Gasoline,27.0,29.0,4WD,2.3,2.3,0.0,4.2,https://www.cars.com/vehicledetail/detail/799139045/overview/,Tier_1,black,black,automatic,NA
7097,2,USED,2008,Dodge,,13995.0,Gasoline,25.0,31.0,RWD,3.0,3.0,143875.0,4.0,https://www.cars.com/vehicledetail/detail/799481979/overview/,Tier_1,gray,black,automatic,NA
7097,2,USED,2018,Acura,,19999.0,Gasoline,20.0,32.0,FWD,3.5,3.5,30314.0,4.6,https://www.cars.com/vehicledetail/detail/807245180/overview/,Tier_3,gray,OTHER,automatic,9
7097,2,USED,2018,Lexus,,68995.0,Hybrid,26.0,35.0,RWD,2.3,2.3,266.0,,https://www.cars.com/vehicledetail/detail/795318671/overview/,Tier_2,OTHER,OTHER,variable,NA
7097,2,USED,2010,Mercedes-Benz,,13900.0,Gasoline,25.0,31.0,RWD,3.5,3.5,38984.0,4.7,https://www.cars.com/vehicledetail/detail/807543515/overview/,Tier_2,silver,OTHER,automatic,7
7097,2,USED,2019,Cadillac,,26500.0,Gasoline,24.0,30.0,FWD,2.0,2.0,345.0,3.2,https://www.cars.com/vehicledetail/detail/802017407/overview/,Tier_1,silver,OTHER,automatic,9
7097,2,NEW,2020,Chevrolet,,21749.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/796637033/overview/,Tier_1,white,black,automatic,6
7097,2,USED,2017,BMW,,25989.0,Gasoline,21.0,32.0,RWD,3.0,3.0,40369.0,4.8,https://www.cars.com/vehicledetail/detail/798357590/overview/,Tier_2,gray,black,manual,6
7097,2,USED,2016,Honda,,15500.0,Gasoline,18.0,26.0,AWD,3.5,3.5,42555.0,4.6,https://www.cars.com/vehicledetail/detail/805172613/overview/,Tier_1,white,brown,automatic,6
7097,2,USED,2018,GMC,,17888.0,Gasoline,26.0,30.0,FWD,1.5,1.5,18618.0,4.7,https://www.cars.com/vehicledetail/detail/796261916/overview/,Tier_1,black,black,automatic,9
