Zipcode,NewUsed,Year,Make,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
5,1,2019,37,26900.0,1,21.0,26.0,2,2.3,2.3,431.0,4.0,1,8,2,1,10.0
5,1,2017,41,29895.0,3,25.0,31.0,1,2.0,2.0,29935.0,5.0,2,9,8,1,8.0
5,1,2006,1,2595.0,1,22.0,29.0,0,2.4,2.4,150400.0,4.1,2,11,8,1,4.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,2.0,5.0,1,8,2,1,4.0
7,0,2019,43,41094.0,1,24.0,30.0,0,2.0,2.0,125.0,3.2,1,4,2,1,9.0
7,0,2019,43,34460.0,1,24.0,30.0,0,2.0,2.0,8285.0,3.2,1,8,2,1,9.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,11.0,5.0,1,9,1,1,4.0
7,0,2019,37,24145.0,0,25.0,31.0,3,3.7,3.7,12.0,3.8,1,9,1,1,6.0
7,0,2019,43,35135.0,1,24.0,30.0,0,2.0,2.0,15.0,3.2,1,4,1,1,9.0
7,0,2020,5,17910.0,1,26.0,34.0,0,1.4,1.4,7.0,4.5,1,10,2,1,6.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,10.0,5.0,1,9,1,1,4.0
7,1,2017,14,16000.0,1,19.0,25.0,0,2.4,2.4,32608.0,4.7,1,6,2,1,4.0
7,0,2020,2,23990.0,1,21.0,27.0,0,2.5,2.5,2127.0,4.8,1,6,1,1,6.0
7,0,2020,5,14365.0,1,26.0,31.0,0,1.4,1.4,7.0,4.6,1,4,2,1,6.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,90.0,5.0,1,0,2,1,4.0
7,1,2015,1,10000.0,1,23.0,36.0,0,2.4,2.4,67055.0,4.3,2,8,2,1,9.0
7,0,2020,5,17020.0,1,26.0,34.0,0,1.4,1.4,7.0,4.5,1,0,2,1,6.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,2.0,5.0,1,4,2,1,4.0
7,0,2019,43,41781.0,1,24.0,30.0,0,2.0,2.0,78.0,3.2,1,8,2,1,9.0
7,0,2019,43,38315.0,1,24.0,30.0,0,2.0,2.0,8938.0,3.2,1,5,2,1,9.0
7,0,2019,43,42119.0,1,24.0,30.0,0,2.0,2.0,12.0,3.2,1,8,2,1,9.0
7,0,2019,43,39422.0,1,24.0,30.0,0,2.0,2.0,41.0,3.2,1,5,2,1,9.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,13.0,5.0,1,9,1,1,4.0
7,0,2019,43,37755.0,1,24.0,30.0,0,2.0,2.0,7038.0,3.2,1,7,2,1,9.0
7,1,2005,44,17820.0,1,13.0,17.0,2,4.7,4.7,115362.0,4.4,2,3,8,1,5.0
7,0,2019,3,30192.0,1,20.0,27.0,0,3.3,3.3,9.0,4.2,1,9,2,1,8.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,10.0,5.0,1,9,2,1,4.0
7,1,2015,18,13500.0,1,24.0,31.0,0,2.4,2.4,51315.0,4.1,2,2,2,1,9.0
7,0,2019,43,38265.0,1,24.0,30.0,0,2.0,2.0,11.0,3.2,1,8,2,1,9.0
7,0,2019,43,39422.0,1,24.0,30.0,0,2.0,2.0,18.0,3.2,1,8,2,1,9.0
7,0,2019,43,39815.0,1,24.0,30.0,0,2.0,2.0,7304.0,3.2,1,5,2,1,9.0
7,0,2019,31,21995.0,3,40.0,46.0,0,2.0,2.0,19.0,5.0,1,0,0,1,6.0
7,1,2007,37,10699.0,1,15.0,20.0,3,4.0,4.0,82149.0,4.6,1,2,1,1,5.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,9.0,5.0,1,4,1,1,4.0
7,1,2014,31,14000.0,1,20.0,27.0,0,2.4,2.4,65894.0,4.6,1,2,8,1,6.0
7,1,2016,37,14800.0,1,18.0,27.0,0,3.5,3.5,23156.0,4.8,1,8,2,1,6.0
7,0,2019,5,14435.0,1,26.0,31.0,0,1.4,1.4,4970.0,4.3,1,9,2,1,6.0
7,0,2020,14,23006.0,1,25.0,31.0,0,2.4,2.4,11.0,5.0,1,7,2,1,4.0
7,0,2019,5,14435.0,1,26.0,31.0,0,1.4,1.4,2375.0,4.3,1,9,2,1,6.0
7,0,2019,43,42990.0,1,18.0,25.0,0,3.6,3.6,7614.0,4.3,1,5,2,1,8.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,9.0,5.0,1,4,1,1,4.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,15.0,5.0,1,9,1,1,4.0
7,0,2020,5,17965.0,1,26.0,34.0,0,1.4,1.4,6.0,4.5,1,0,2,1,6.0
7,0,2019,43,43055.0,1,24.0,30.0,0,2.0,2.0,16.0,3.2,1,7,2,1,9.0
7,0,2019,43,42899.0,1,24.0,30.0,1,2.0,2.0,11.0,3.2,1,9,2,1,9.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,15.0,5.0,1,8,1,1,4.0
7,0,2019,43,43380.0,1,24.0,30.0,0,2.0,2.0,2253.0,3.2,1,4,2,1,9.0
7,0,2020,37,17488.0,1,23.0,29.0,0,1.0,1.0,14.0,4.2,1,2,1,1,6.0
7,0,2020,14,21491.0,1,25.0,31.0,0,2.4,2.4,2.0,5.0,1,9,2,1,4.0
7,1,2013,33,12542.0,1,20.0,30.0,0,2.4,2.4,60667.0,4.6,1,9,8,1,5.0
