Year,Dealer_Price,City_MPG,Highway_MPG,Liters,V,Mileage,33101,58001,63123,70032,83701,84044,87101,92602,USED,Nissan,Kicks SV,Rogue SV,Spark LS,Trax LT,Versa 1.6 SV,Versa S,FWD,Ext_OTHER,Ext_blue,Ext_gray,Ext_metallic,Ext_orange,Ext_red,Ext_silver,Ext_white,Int_OTHER,Int_brown,Int_gray,Int_silver,manual,variable
2020,20790.0,31.0,36.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,21425.0,31.0,36.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,16985.0,26.0,31.0,2.0,2.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,17480.0,26.0,31.0,2.0,2.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,17515.0,27.0,35.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,17515.0,27.0,35.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,20295.0,31.0,36.0,1.6,1.6,9.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020,19476.0,32.0,40.0,1.6,1.6,9.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020,18780.0,32.0,40.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020,19175.0,32.0,40.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020,17485.0,27.0,35.0,1.6,1.6,26.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,14265.0,29.0,38.0,2.0,2.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,21030.0,31.0,36.0,1.6,1.6,9.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020,17515.0,27.0,35.0,1.6,1.6,9.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,21305.0,31.0,36.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,21425.0,31.0,36.0,1.6,1.6,27.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,17515.0,27.0,35.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,18810.0,32.0,40.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020,17515.0,27.0,35.0,1.6,1.6,71.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,18780.0,32.0,40.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020,14590.0,29.0,38.0,2.0,2.0,11.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020,18810.0,32.0,40.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020,18810.0,32.0,40.0,1.6,1.6,9.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019,21195.0,31.0,36.0,1.6,1.6,9.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,22342.0,26.0,31.0,1.4,1.4,2964.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,21135.0,31.0,36.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,22342.0,26.0,31.0,1.4,1.4,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,20830.0,31.0,36.0,1.6,1.6,9.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,18810.0,32.0,40.0,1.6,1.6,7.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020,22342.0,26.0,31.0,1.4,1.4,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,22342.0,26.0,31.0,1.4,1.4,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,21710.0,31.0,36.0,1.6,1.6,8.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,22342.0,26.0,31.0,1.4,1.4,3051.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
